co2_room,gas_room,offset_from_utc,pressure_room,rh_room,temp_c_room,time,total_voc_room
442.0,352770,-8.0,1018.9,67.2,24.2,2020-09-30 20:51:39,6.0
,181907,-8.0,1019.2,68.9,23.2,2020-09-30 20:52:57,
,360822,-8.0,1019.1,69.6,22.9,2020-09-30 21:00:56,
422.0,357484,-8.0,1019.1,70.7,22.7,2020-09-30 21:05:57,3.0
470.0,353487,-8.0,1019.1,71.2,22.6,2020-09-30 21:10:57,10.0
611.0,350283,-8.0,1019.1,71.2,22.5,2020-09-30 21:15:57,32.0
508.0,346790,-8.0,1019.2,71.4,22.5,2020-09-30 21:20:58,16.0
502.0,342689,-8.0,1019.3,71.6,22.4,2020-09-30 21:25:58,15.0
493.0,340009,-8.0,1019.4,71.7,22.4,2020-09-30 21:30:58,14.0
493.0,336717,-8.0,1019.4,71.7,22.4,2020-09-30 21:35:59,14.0
480.0,332531,-8.0,1019.4,71.7,22.4,2020-09-30 21:40:59,12.0
466.0,330321,-8.0,1019.5,71.7,22.4,2020-09-30 21:45:59,10.0
464.0,326598,-8.0,1019.4,71.7,22.4,2020-09-30 21:51:00,9.0
460.0,322959,-8.0,1019.5,71.7,22.4,2020-09-30 21:56:00,9.0
451.0,319106,-8.0,1019.5,71.7,22.3,2020-09-30 22:01:00,7.0
445.0,317070,-8.0,1019.5,71.8,22.3,2020-09-30 22:06:01,6.0
441.0,313639,-8.0,1019.5,71.8,22.3,2020-09-30 22:11:01,6.0
434.0,309728,-8.0,1019.5,71.7,22.4,2020-09-30 22:16:01,5.0
434.0,306994,-8.0,1019.5,71.7,22.4,2020-09-30 22:21:02,5.0
433.0,303246,-8.0,1019.5,71.6,22.4,2020-09-30 22:26:02,5.0
428.0,301146,-8.0,1019.5,71.6,22.3,2020-09-30 22:31:02,4.0
413.0,299331,-8.0,1019.5,71.6,22.3,2020-09-30 22:36:02,1.0
428.0,295516,-8.0,1019.5,71.6,22.3,2020-09-30 22:41:03,4.0
415.0,294266,-8.0,1019.5,71.6,22.3,2020-09-30 22:46:03,2.0
423.0,290335,-8.0,1019.5,71.6,22.3,2020-09-30 22:51:03,3.0
409.0,288409,-8.0,1019.5,71.5,22.3,2020-09-30 22:56:03,1.0
418.0,285567,-8.0,1019.5,71.4,22.4,2020-09-30 23:01:04,2.0
410.0,283011,-8.0,1019.5,71.4,22.4,2020-09-30 23:06:04,1.0
406.0,281180,-8.0,1019.5,71.4,22.4,2020-09-30 23:11:04,0.0
421.0,278033,-8.0,1019.5,71.4,22.4,2020-09-30 23:16:05,3.0
421.0,276266,-8.0,1019.6,71.4,22.4,2020-09-30 23:21:05,3.0
417.0,273658,-8.0,1019.6,71.4,22.4,2020-09-30 23:26:05,2.0
415.0,271521,-8.0,1019.7,71.4,22.4,2020-09-30 23:31:05,2.0
38912.0,269836,-8.0,1019.7,71.4,22.4,2020-09-30 23:36:06,3.0
421.0,266323,-8.0,1019.6,71.5,22.4,2020-09-30 23:41:06,3.0
421.0,265307,-8.0,1019.7,71.4,22.4,2020-09-30 23:46:06,3.0
405.0,262306,-8.0,1019.7,71.4,22.4,2020-09-30 23:51:06,0.0
415.0,261124,-8.0,1019.8,71.4,22.4,2020-09-30 23:56:07,2.0
415.0,258985,-8.0,1019.8,71.4,22.3,2020-10-01 00:01:07,2.0
